,Data,Vendedor,Produto,Forma Pagamento,Preço Unitário,Qtd,Unnamed: 7,Unnamed: 8
0,1/1/2015,Diana Martins,Produto E,Cartão de Crédito,R$ 709.50,1,,
1,1/1/2015,Clara Nunes,Produto F,Cartão de Crédito,R$ 478.50,1,,
2,1/1/2015,Camila Souza,Produto H,Cartão de Crédito,R$ 396.00,1,,
3,1/2/2015,Camila Souza,Produto F,Cartão de Crédito,R$ 478.50,1,,
4,1/2/2015,Clara Nunes,Produto J,Cartão de Crédito,R$ 66.00,2,,
5,1/3/2015,Anderson Gomes,Produto E,Boleto Bancário,R$ 709.50,1,,
6,1/3/2015,Camila Souza,Produto J,Dinheiro,R$ 66.00,1,,
7,1/4/2015,Anderson Gomes,Produto B,Cartão de Crédito,R$ 577.50,2,,
8,1/4/2015,Renato Souza,Produto A,Boleto Bancário,R$ 445.50,1,,
9,1/5/2015,Clara Nunes,Produto A,Cartão de Crédito,R$ 445.50,1,,
10,1/6/2015,Diana Martins,Produto C,Boleto Bancário,R$ 148.50,1,,
11,1/6/2015,Clara Nunes,Produto A,Cartão de Crédito,R$ 445.50,1,,
12,1/6/2015,Felipe Melo,Produto D,Cartão de Crédito,R$ 759.00,1,,
13,1/7/2015,Anderson Gomes,Produto C,Dinheiro,R$ 148.50,1,,
14,1/7/2015,Felipe Melo,Produto I,Dinheiro,R$ 759.00,1,,
15,1/7/2015,Renato Souza,Produto H,Cartão de Crédito,R$ 396.00,1,,
16,1/7/2015,Felipe Melo,Produto G,Cartão de Crédito,R$ 165.00,3,,
17,1/7/2015,Felipe Melo,Produto B,Dinheiro,R$ 577.50,1,,
18,1/9/2015,Renato Souza,Produto B,Cartão de Crédito,R$ 577.50,1,,
19,1/10/2015,Renato Souza,Produto H,Cartão de Crédito,R$ 396.00,1,,
20,1/10/2015,Diana Martins,Produto B,Dinheiro,R$ 577.50,1,,
21,1/10/2015,Renato Souza,Produto H,Boleto Bancário,R$ 396.00,1,,
22,1/11/2015,Clara Nunes,Produto H,Cartão de Crédito,R$ 396.00,1,,
23,1/11/2015,Camila Souza,Produto J,Cartão de Crédito,R$ 66.00,3,,
24,1/12/2015,Anderson Gomes,Produto H,Cartão de Crédito,R$ 396.00,1,,
25,1/12/2015,Camila Souza,Produto D,Cartão de Crédito,R$ 759.00,2,,
26,1/12/2015,Renato Souza,Produto G,Dinheiro,R$ 165.00,1,,
27,1/12/2015,Anderson Gomes,Produto C,Cartão de Crédito,R$ 148.50,1,,
28,1/13/2015,Clara Nunes,Produto A,Boleto Bancário,R$ 445.50,1,,
29,1/13/2015,Renato Souza,Produto I,Dinheiro,R$ 759.00,2,,
30,1/14/2015,Anderson Gomes,Produto C,Boleto Bancário,R$ 148.50,1,,
31,1/14/2015,Felipe Melo,Produto F,Cartão de Crédito,R$ 478.50,1,,
32,1/14/2015,Renato Souza,Produto B,Cartão de Crédito,R$ 577.50,1,,
33,1/15/2015,Camila Souza,Produto A,Cartão de Crédito,R$ 445.50,1,,
34,1/15/2015,Felipe Melo,Produto J,Cartão de Crédito,R$ 66.00,1,,
35,1/15/2015,Diana Martins,Produto E,Boleto Bancário,R$ 709.50,1,,
36,1/16/2015,Clara Nunes,Produto F,Cartão de Crédito,R$ 478.50,1,,
37,1/17/2015,Camila Souza,Produto H,Cartão de Crédito,R$ 396.00,1,,
38,1/17/2015,Camila Souza,Produto G,Dinheiro,R$ 165.00,1,,
39,1/17/2015,Anderson Gomes,Produto D,Cartão de Crédito,R$ 759.00,1,,
40,1/17/2015,Clara Nunes,Produto B,Cartão de Crédito,R$ 577.50,1,,
41,1/17/2015,Felipe Melo,Produto C,Cartão de Crédito,R$ 148.50,1,,
42,1/17/2015,Camila Souza,Produto I,Cartão de Crédito,R$ 759.00,1,,
43,1/18/2015,Felipe Melo,Produto C,Cartão de Crédito,R$ 148.50,1,,
44,1/18/2015,Clara Nunes,Produto J,Dinheiro,R$ 66.00,3,,
45,1/18/2015,Renato Souza,Produto G,Cartão de Crédito,R$ 165.00,1,,
46,1/20/2015,Renato Souza,Produto H,Boleto Bancário,R$ 396.00,1,,
47,1/20/2015,Anderson Gomes,Produto I,Cartão de Crédito,R$ 759.00,1,,
48,1/20/2015,Camila Souza,Produto A,Cartão de Crédito,R$ 445.50,3,,
49,1/21/2015,Anderson Gomes,Produto D,Boleto Bancário,R$ 759.00,1,,
50,1/21/2015,Felipe Melo,Produto G,Dinheiro,R$ 165.00,3,,
51,1/22/2015,Felipe Melo,Produto J,Cartão de Crédito,R$ 66.00,1,,
52,1/22/2015,Felipe Melo,Produto B,Cartão de Crédito,R$ 577.50,3,,
53,1/23/2015,Diana Martins,Produto H,Dinheiro,R$ 396.00,3,,
54,1/24/2015,Camila Souza,Produto B,Cartão de Crédito,R$ 577.50,1,,
55,1/24/2015,Diana Martins,Produto A,Boleto Bancário,R$ 445.50,1,,
56,1/24/2015,Anderson Gomes,Produto A,Boleto Bancário,R$ 445.50,1,,
57,1/24/2015,Camila Souza,Produto G,Boleto Bancário,R$ 165.00,1,,
58,1/25/2015,Felipe Melo,Produto I,Cartão de Crédito,R$ 759.00,1,,
59,1/25/2015,Clara Nunes,Produto F,Cartão de Crédito,R$ 478.50,1,,
60,1/25/2015,Diana Martins,Produto G,Boleto Bancário,R$ 165.00,3,,
